Class,Country,Time,Link,Road Name,Road Short Name
1,USA,pre–1956,https://en.wikipedia.org/wiki/Central_New_England_Railway,Central New England Railway,CNE
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Central_Railroad_of_New_Jersey,Central Railroad of New Jersey,CNJ
1,USA,pre–1956,https://en.wikipedia.org/wiki/St._Lawrence_and_Atlantic_Railroad,St. Lawrence and Atlantic Railroad,CNNE
1,USA,Former (1956–present),"https://en.wikipedia.org/wiki/Cincinnati,_New_Orleans_and_Texas_Pacific_Railway","Cincinnati, New Orleans and Texas Pacific Railway",CNO&TP
1,USA,pre–1956,https://en.wikipedia.org/wiki/Canadian_Northern_Railway,Canadian Northern Railway,CNOR
,,,,Chicago and North Western Transportation Company,CNW
,,,,Conoco,CONX
,,,,,COPR
2,USA,Current,https://en.wikipedia.org/wiki/Central_Oregon_and_Pacific_Railroad,Central Oregon and Pacific Railroad,CORP
1,CAN,Current,https://en.wikipedia.org/wiki/Canadian_Pacific_Railway,Canadian Pacific Railway,CP
1,USA,pre–1956,"https://en.wikipedia.org/wiki/Chicago,_Peoria_and_St._Louis_Railroad","Chicago, Peoria and St. Louis Railroad",CP&STL
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Canadian_Pacific_Lines_in_Maine,Canadian Pacific Lines in Maine,CPME
1,USA,pre–1956,https://en.wikipedia.org/wiki/Canadian_Pacific_Lines_in_Vermont,Canadian Pacific Lines in Vermont,CPVT
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Conrail,Conrail / Consolidated Rail Corporation,CR
1,USA,pre–1956,https://en.wikipedia.org/wiki/Copper_River_and_Northwestern_Railway,Copper River and Northwestern Railway,CR&NW
1,USA,pre–1956,"https://en.wikipedia.org/wiki/Chicago,_Rock_Island_and_Gulf_Railway","Chicago, Rock Island and Gulf Railway",CRI&G
1,USA,Former (1956–present),"https://en.wikipedia.org/wiki/Chicago,_Rock_Island_and_Pacific_Railroad","Chicago, Rock Island and Pacific Railroad",CRIP
2,USA,1956-present,https://en.wikipedia.org/wiki/Carolina_and_Northwestern_Railway,Carolina and Northwestern Railway,CRN
1,USA,pre–1956,https://en.wikipedia.org/wiki/Central_Railroad_of_Pennsylvania,Central Railroad of Pennsylvania,CRP
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Clinchfield_Railroad,Clinchfield Railroad,CRR
1,USA,pre–1956,https://en.wikipedia.org/wiki/Chicago_Southern_Railway,Chicago Southern Railway,CS
1,USA,Former (1956–present),"https://en.wikipedia.org/wiki/Chicago,_St._Paul,_Minneapolis_and_Omaha_Railway","Chicago, St. Paul, Minneapolis and Omaha Railway",CSPM&O
1,USA,Current,https://en.wikipedia.org/wiki/CSX_Transportation,CSX Transportation,CSXT
1,USA,pre–1956,"https://en.wikipedia.org/wiki/Chicago,_Terre_Haute_and_Southeastern_Railway","Chicago, Terre Haute and Southeastern Railway",CTH&SE
,,,,,CTSE
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Central_Vermont_Railway,Central Vermont Railway,CV
1,USA,pre–1956,https://en.wikipedia.org/wiki/Cumberland_Valley_and_Martinsburg_Railroad,Cumberland Valley and Martinsburg Railroad,CV&M
1,USA,pre–1956,https://en.wikipedia.org/wiki/Cumberland_Valley_Railroad,Cumberland Valley Railroad,CVRR
1,USA,Current,https://en.wikipedia.org/wiki/Delaware_and_Hudson_Railway,Delaware and Hudson Railway,D&H
1,USA,pre–1956,https://en.wikipedia.org/wiki/Duluth_and_Iron_Range_Railroad,Duluth and Iron Range Railroad,D&IR
1,USA,pre–1956,https://en.wikipedia.org/wiki/Detroit_and_Mackinac_Railway,Detroit and Mackinac Railway,D&M
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Denver_and_Rio_Grande_Western_Railroad,Denver and Rio Grande Western Railroad,D&RGW
1,USA,pre–1956,https://en.wikipedia.org/wiki/Denver_and_Salt_Lake_Railway,Denver and Salt Lake Railway,D&SL
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Detroit_and_Toledo_Shore_Line_Railroad,Detroit and Toledo Shore Line Railroad,D&TSL
1,USA,pre–1956,"https://en.wikipedia.org/wiki/Detroit,_Grand_Haven_and_Milwaukee_Railway","Detroit, Grand Haven and Milwaukee Railway",DGH&M
1,USA,Former (1956–present),"https://en.wikipedia.org/wiki/Delaware,_Lackawanna_and_Western_Railroad","Delaware, Lackawanna and Western Railroad",DL&W
1,USA,Former (1956–present),"https://en.wikipedia.org/wiki/Duluth,_Missabe_and_Iron_Range_Railway","Duluth, Missabe and Iron Range Railway",DM&IR
1,USA,pre–1956,"https://en.wikipedia.org/wiki/Duluth,_Missabe_and_Northern_Railway","Duluth, Missabe and Northern Railway",DM&N
2,USA,1956-present,"https://en.wikipedia.org/wiki/Dakota,_Minnesota_and_Eastern_Railroad","Dakota, Minnesota and Eastern Railroad",DME
2,USA,1956-present,"https://en.wikipedia.org/wiki/Duluth,_Missabe_and_Iron_Range_Railway","Duluth, Missabe and Iron Range Railway",DMIR
1,USA,pre–1956,https://en.wikipedia.org/wiki/Denver_and_Salt_Lake_Railway,"Denver, Northwestern and Pacific Railway",DNW&P
1,USA,Former (1956–present),"https://en.wikipedia.org/wiki/Duluth,_South_Shore_and_Atlantic_Railway","Duluth, South Shore and Atlantic Railway",DSS&A
1,USA,Former (1956–present),"https://en.wikipedia.org/wiki/Detroit,_Toledo_and_Ironton_Railroad","Detroit, Toledo and Ironton Railroad",DT&I
1,USA,Former (1956–present),"https://en.wikipedia.org/wiki/Duluth,_Winnipeg_and_Pacific_Railway","Duluth, Winnipeg and Pacific Railway",DW&P
1,USA,pre–1956,https://en.wikipedia.org/wiki/Evansville_and_Crawfordsville_Railroad,Evansville and Crawfordsville/Terre Haute Railroad,E&TH
1,USA,pre–1956,"https://en.wikipedia.org/wiki/Evansville,_Indianapolis_and_Terre_Haute_Railway","Evansville, Indianapolis and Terre Haute Railway",EI&TH
